DATE,TEAM,OPPONENT,NAME,POSITION,MINUTES,POINTS,REBOUNDS,ASSISTS,PTS+REB+AST,STEALS,BLOCKS,TURNOVERS,FOULS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,FANTASY,STARTER?,HOME?,WIN?,game_id
05/16/21,ATL,HOU,Solomon Hill,PF,35,6,5,4,15,2,0,1,2,2,7,2,6,0,0,1,4,23.0,False,True,True,atl20210516
05/16/21,ATL,HOU,Onyeka Okongwu,C,32,21,15,3,39,2,2,1,2,10,13,0,0,1,3,6,9,54.5,False,True,True,atl20210516
05/16/21,ATL,HOU,Skylar Mays,SG,27,16,4,7,27,0,2,1,0,7,11,2,5,0,0,0,4,36.3,False,True,True,atl20210516
05/16/21,ATL,HOU,Nathan Knight,PF,26,13,10,0,23,0,2,0,1,6,9,1,3,0,2,3,7,31.0,False,True,True,atl20210516
05/16/21,ATL,HOU,De'Andre Hunter,SF,24,14,2,1,17,0,1,2,5,4,11,0,3,6,8,0,2,18.9,False,True,True,atl20210516
05/16/21,ATL,HOU,Tony Snell,SG,23,8,2,1,11,2,0,2,3,4,7,0,0,0,0,0,2,15.9,False,True,True,atl20210516
05/16/21,ATL,HOU,Bruno Fernando,C,21,10,9,1,20,2,0,0,1,4,10,0,0,2,2,1,8,28.3,False,True,True,atl20210516
05/16/21,ATL,HOU,Trae Young,PG,16,10,3,9,22,2,0,2,0,3,9,1,3,3,4,0,3,31.1,False,True,True,atl20210516
05/16/21,ATL,HOU,John Collins,PF,16,15,4,0,19,0,1,0,1,5,7,1,1,4,4,0,4,22.8,False,True,True,atl20210516
05/16/21,ATL,HOU,Lou Williams,PG,16,11,2,6,19,0,0,4,1,4,6,0,0,3,3,0,2,18.4,False,True,True,atl20210516
05/16/21,HOU,ATL,Anthony Lamb,SF,42,7,4,4,15,2,0,3,1,2,6,0,4,3,4,2,2,20.8,False,False,False,atl20210516
05/16/21,HOU,ATL,KJ Martin,SF,36,10,6,4,20,2,0,4,4,4,15,2,9,0,1,1,5,25.2,False,False,False,atl20210516
05/16/21,HOU,ATL,Armoni Brooks,SG,34,18,4,0,22,2,0,1,3,6,19,6,18,0,0,0,4,27.8,False,False,False,atl20210516
05/16/21,HOU,ATL,Cameron Reynolds,SF,31,9,4,2,15,0,0,0,2,3,14,3,12,0,0,2,2,16.8,False,False,False,atl20210516
05/16/21,HOU,ATL,Cameron Oliver,SF,28,10,12,1,23,0,3,1,2,5,9,0,3,0,1,4,8,33.9,False,False,False,atl20210516
05/16/21,HOU,ATL,Kelly Olynyk,C,23,16,6,4,26,1,1,2,3,3,11,2,5,8,8,1,5,33.2,False,False,False,atl20210516
05/16/21,HOU,ATL,D.J. Augustin,PG,22,18,4,5,27,1,0,2,1,5,11,4,10,4,4,1,3,31.3,False,False,False,atl20210516
05/16/21,HOU,ATL,Jae'Sean Tate,SF,21,7,3,5,15,0,1,2,2,3,7,1,2,0,2,0,3,19.1,False,False,False,atl20210516
05/16/21,BRK,CLE,Kevin Durant,PF,28,23,8,13,44,0,0,2,2,8,10,1,2,6,6,0,8,50.1,False,True,True,brk20210516
05/16/21,BRK,CLE,Kyrie Irving,PG,28,17,6,2,25,3,3,1,3,7,11,3,3,0,0,0,6,44.2,False,True,True,brk20210516
