DATE,TEAM,OPPONENT,NAME,POSITION,MINUTES,POINTS,REBOUNDS,ASSISTS,PTS+REB+AST,STEALS,BLOCKS,TURNOVERS,FOULS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,FANTASY,STARTER?,HOME?,WIN?,game_id
04/09/23,BOS,ATL,Payton Pritchard,PG,45,30,14,11,55,0,0,7,1,10,21,9,16,1,1,1,13,56.3,False,True,True,bos20230409
04/09/23,BOS,ATL,Sam Hauser,SF,38,26,5,6,37,1,1,1,2,9,16,8,14,0,0,1,4,46.0,False,True,True,bos20230409
04/09/23,BOS,ATL,JD Davison,SG,34,8,3,3,14,0,2,2,1,3,6,1,3,1,2,1,2,20.1,False,True,True,bos20230409
04/09/23,BOS,ATL,Mike Muscala,C,33,27,8,2,37,0,0,2,3,9,13,4,7,5,7,4,4,37.6,False,True,True,bos20230409
04/09/23,BOS,ATL,Luke Kornet,C,32,12,7,6,25,1,0,1,5,5,10,0,2,2,2,1,6,31.4,False,True,True,bos20230409
04/09/23,BOS,ATL,Justin Champagnie,SF,19,5,4,3,12,1,0,0,0,2,12,1,5,0,0,2,2,17.3,False,True,True,bos20230409
04/09/23,BOS,ATL,Mfiondu Kabengele,PF,18,4,4,0,8,2,0,0,0,1,4,0,2,2,2,2,2,14.8,False,True,True,bos20230409
04/09/23,BOS,ATL,Derrick White,SG,5,3,0,1,4,0,0,1,0,1,2,1,2,0,0,0,0,3.5,False,True,True,bos20230409
04/09/23,BOS,ATL,Blake Griffin,C,5,3,2,1,6,0,0,1,1,1,3,1,3,0,0,0,2,5.9,False,True,True,bos20230409
04/09/23,BOS,ATL,Grant Williams,PF,5,2,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,2.0,False,True,True,bos20230409
04/09/23,ATL,BOS,Aaron Holiday,PG,31,7,2,6,15,2,0,2,2,3,12,1,5,0,0,1,1,22.4,False,False,False,bos20230409
04/09/23,ATL,BOS,AJ Griffin,SF,29,13,3,2,18,2,0,0,0,5,13,1,5,2,3,1,2,25.6,False,False,False,bos20230409
04/09/23,ATL,BOS,Onyeka Okongwu,C,26,10,9,2,21,1,0,1,0,4,7,1,2,1,2,4,5,25.8,False,False,False,bos20230409
04/09/23,ATL,BOS,Garrison Mathews,SG,25,19,3,1,23,0,1,0,2,5,12,4,11,5,5,1,2,27.1,False,False,False,bos20230409
04/09/23,ATL,BOS,Bruno Fernando,C,21,19,10,0,29,0,1,2,3,8,11,0,2,3,4,3,7,32.0,False,False,False,bos20230409
04/09/23,ATL,BOS,Vit Krejci,PG,20,0,4,3,7,1,0,1,2,0,1,0,1,0,0,1,3,11.3,False,False,False,bos20230409
04/09/23,ATL,BOS,Jalen Johnson,SF,18,15,3,3,21,1,3,0,2,6,10,2,4,1,2,0,3,35.1,False,False,False,bos20230409
04/09/23,ATL,BOS,Trent Forrest,SG,16,0,2,5,7,1,0,0,0,0,4,0,0,0,0,0,2,12.9,False,False,False,bos20230409
04/09/23,ATL,BOS,De'Andre Hunter,SF,16,14,3,1,18,0,0,2,1,5,9,1,3,3,3,0,3,17.1,False,False,False,bos20230409
04/09/23,ATL,BOS,Tyrese Martin,SG,16,4,6,1,11,0,0,1,0,2,6,0,2,0,0,3,3,11.7,False,False,False,bos20230409
04/09/23,ATL,BOS,Saddiq Bey,SF,15,9,4,3,16,3,0,0,0,4,8,1,3,0,0,2,2,27.3,False,False,False,bos20230409
04/09/23,ATL,BOS,Donovan Williams,SG,2,4,1,0,5,0,0,0,0,2,4,0,1,0,0,0,1,5.2,False,False,False,bos20230409
04/09/23,BRK,PHI,David Duke,SG,44,15,8,4,27,3,0,3,4,5,13,0,4,5,6,3,5,36.6,False,True,False,brk20230409
04/09/23,BRK,PHI,Cam Thomas,SG,42,46,2,1,49,1,1,4,1,16,29,6,8,8,8,0,2,51.9,False,True,False,brk20230409
04/09/23,BRK,PHI,RaiQuan Gray,PF,35,16,9,7,32,0,1,4,5,6,12,2,5,2,2,3,6,36.3,False,True,False,brk20230409
04/09/23,BRK,PHI,Patty Mills,PG,35,12,2,2,16,1,0,4,3,3,11,2,9,4,7,0,2,16.4,False,True,False,brk20230409
04/09/23,BRK,PHI,Yuta Watanabe,SF,33,9,7,1,17,0,2,2,1,3,8,2,6,1,2,1,6,22.9,False,True,False,brk20230409
04/09/23,BRK,PHI,Day'Ron Sharpe,C,25,5,10,4,19,0,2,0,3,2,6,0,0,1,1,3,7,29.0,False,True,False,brk20230409
04/09/23,BRK,PHI,Dru Smith,SG,23,2,4,3,9,1,0,1,4,0,4,0,0,2,2,0,4,13.3,False,True,False,brk20230409
04/09/23,BRK,PHI,Mikal Bridges,SF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,False,True,False,brk20230409
04/09/23,PHI,BRK,Shake Milton,SG,36,20,3,8,31,2,0,2,4,8,13,2,3,2,2,1,2,39.6,False,False,True,brk20230409
04/09/23,PHI,BRK,Mac McClung,SG,33,20,9,9,38,0,0,1,3,8,17,3,9,1,3,3,6,43.3,False,False,True,brk20230409
04/09/23,PHI,BRK,Furkan Korkmaz,SG,29,11,4,0,15,2,0,3,3,3,7,3,4,2,2,0,4,18.8,False,False,True,brk20230409
04/09/23,PHI,BRK,Louis King,PF,28,20,4,2,26,1,0,2,4,8,13,4,8,0,1,2,2,28.8,False,False,True,brk20230409
04/09/23,PHI,BRK,Paul Reed,C,27,17,10,1,28,2,5,1,2,8,15,1,2,0,0,4,6,50.5,False,False,True,brk20230409
04/09/23,PHI,BRK,Danuel House,SF,23,9,4,3,16,0,0,1,1,3,11,0,3,3,3,0,4,17.3,False,False,True,brk20230409
04/09/23,PHI,BRK,Montrezl Harrell,C,21,15,6,2,23,0,0,1,0,5,10,0,2,5,7,1,5,24.2,False,False,True,brk20230409
04/09/23,PHI,BRK,Dewayne Dedmon,C,19,14,7,4,25,1,0,2,5,6,8,1,1,1,1,0,7,29.4,False,False,True,brk20230409
04/09/23,PHI,BRK,Jalen McDaniels,SF,17,8,3,2,13,2,0,0,1,4,7,0,0,0,0,2,1,20.6,False,False,True,brk20230409
04/09/23,PHI,BRK,Jaden Springer,SG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,False,True,brk20230409
04/09/23,CHI,DET,Zach LaVine,SG,26,17,3,2,22,0,0,1,1,6,15,1,5,4,4,0,3,22.6,False,True,True,chi20230409
04/09/23,CHI,DET,Ayo Dosunmu,SG,24,9,2,2,13,1,0,0,0,4,10,1,4,0,1,0,2,17.4,False,True,True,chi20230409
04/09/23,CHI,DET,DeMar DeRozan,SF,23,16,2,5,23,1,0,0,1,7,15,1,4,1,1,0,2,28.9,False,True,True,chi20230409
04/09/23,CHI,DET,Patrick Beverley,SG,23,2,2,4,8,3,1,0,4,1,3,0,2,0,0,0,2,22.4,False,True,True,chi20230409
04/09/23,CHI,DET,Patrick Williams,PF,21,2,2,1,5,1,1,0,1,1,5,0,1,0,0,1,1,11.9,False,True,True,chi20230409
04/09/23,CHI,DET,Nikola Vucevic,C,17,8,7,0,15,3,0,0,1,4,9,0,0,0,0,0,7,25.4,False,True,True,chi20230409
04/09/23,CHI,DET,Dalen Terry,SG,15,10,3,1,14,3,1,0,2,3,6,0,2,4,4,0,3,27.1,False,True,True,chi20230409
04/09/23,CHI,DET,Terry Taylor,PF,15,5,4,0,9,0,1,0,1,2,3,0,0,1,2,2,2,12.8,False,True,True,chi20230409
04/09/23,CHI,DET,Alex Caruso,PG,15,2,1,2,5,0,2,0,1,1,3,0,2,0,0,0,1,12.2,False,True,True,chi20230409
04/09/23,CHI,DET,Coby White,SG,14,5,3,1,9,0,0,1,0,2,4,1,2,0,0,0,3,9.1,False,True,True,chi20230409
04/09/23,CHI,DET,Andre Drummond,C,12,8,10,0,18,1,0,1,1,3,7,0,0,2,4,5,5,22.0,False,True,True,chi20230409
04/09/23,CHI,DET,Carlik Jones,PG,12,11,1,3,15,1,0,0,0,3,6,1,3,4,4,0,1,19.7,False,True,True,chi20230409
