DATE,TEAM,OPPONENT,NAME,POSITION,MINUTES,POINTS,REBOUNDS,ASSISTS,PTS+REB+AST,STEALS,BLOCKS,TURNOVERS,FOULS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,FANTASY,STARTER?,HOME?,WIN?,game_id
04/14/24,CHO,CLE,Vasilije Micic,PG,9,3,1,4,8,0,0,1,0,1,4,1,3,0,0,0,1,9.2,False,False,True,cle20240414
04/14/24,GSW,UTA,Gui Santos,PF,24,13,5,2,20,1,0,0,3,5,10,1,5,2,2,2,3,25.0,False,True,True,gsw20240414
04/14/24,GSW,UTA,Jonathan Kuminga,PF,23,0,0,7,7,2,1,0,1,0,4,0,0,0,0,0,0,19.5,False,True,True,gsw20240414
04/14/24,GSW,UTA,Chris Paul,PG,22,6,4,6,16,0,0,1,3,3,10,0,3,0,0,0,4,18.8,False,True,True,gsw20240414
04/14/24,GSW,UTA,Brandin Podziemski,SG,21,7,9,2,18,2,0,0,0,3,7,1,3,0,0,3,6,26.8,False,True,True,gsw20240414
04/14/24,GSW,UTA,Andrew Wiggins,SF,20,19,4,3,26,2,0,1,2,6,11,2,5,5,6,1,3,33.3,False,True,True,gsw20240414
04/14/24,GSW,UTA,Trayce Jackson-Davis,C,20,8,0,1,9,0,0,1,1,4,4,0,0,0,1,0,0,8.5,False,True,True,gsw20240414
04/14/24,GSW,UTA,Klay Thompson,SG,19,25,3,3,31,0,1,0,0,7,13,6,12,5,5,0,3,36.1,False,True,True,gsw20240414
04/14/24,GSW,UTA,Lester Quinones,SG,17,12,1,3,16,0,0,1,3,5,11,2,7,0,0,1,0,16.7,False,True,True,gsw20240414
04/14/24,GSW,UTA,Moses Moody,SG,16,9,1,2,12,2,0,1,0,3,8,1,4,2,2,0,1,18.2,False,True,True,gsw20240414
04/14/24,GSW,UTA,Pat Spencer,PG,15,2,4,3,9,0,0,1,0,1,3,0,2,0,0,2,2,10.3,False,True,True,gsw20240414
04/14/24,GSW,UTA,Kevon Looney,C,15,4,2,2,8,0,1,0,1,2,4,0,0,0,0,1,1,12.4,False,True,True,gsw20240414
04/14/24,GSW,UTA,Dario Saric,C,12,12,5,1,18,0,1,3,0,4,6,1,2,3,4,2,3,19.5,False,True,True,gsw20240414
04/14/24,GSW,UTA,Usman Garuba,PF,5,1,4,0,5,0,2,0,0,0,1,0,0,1,2,0,4,11.8,False,True,True,gsw20240414
04/14/24,GSW,UTA,Jerome Robinson,SG,5,5,0,0,5,1,0,0,0,2,2,0,0,1,1,0,0,8.0,False,True,True,gsw20240414
04/14/24,UTA,GSW,Taylor Hendricks,SF,41,16,8,2,26,3,1,1,2,6,10,2,4,2,2,3,5,39.6,False,False,False,gsw20240414
04/14/24,UTA,GSW,Omer Yurtseven,C,29,11,18,2,31,0,0,2,2,5,12,0,1,1,2,6,12,33.6,False,False,False,gsw20240414
04/14/24,UTA,GSW,Luka Samanic,PF,28,14,5,2,21,1,0,7,4,5,11,0,5,4,4,1,4,19.0,False,False,False,gsw20240414
04/14/24,UTA,GSW,Brice Sensabaugh,SF,28,14,3,0,17,1,0,5,3,6,15,2,7,0,0,1,2,15.6,False,False,False,gsw20240414
04/14/24,UTA,GSW,Kira Lewis,PG,27,13,3,3,19,1,0,1,1,6,12,0,2,1,1,1,2,23.1,False,False,False,gsw20240414
04/14/24,UTA,GSW,Micah Potter,PF,21,10,8,1,19,0,2,1,5,4,7,2,3,0,2,2,6,26.1,False,False,False,gsw20240414
04/14/24,UTA,GSW,Keyonte George,SG,20,21,1,4,26,0,0,1,1,8,11,5,6,0,1,0,1,27.2,False,False,False,gsw20240414
04/14/24,UTA,GSW,Johnny Juzang,PG,19,8,1,2,11,0,0,0,0,2,5,2,4,2,4,0,1,12.2,False,False,False,gsw20240414
04/14/24,UTA,GSW,Kenneth Lofton,PF,15,7,1,6,14,0,1,1,1,3,5,1,2,0,0,0,1,19.2,False,False,False,gsw20240414
04/14/24,UTA,GSW,Darius Bazley,PF,6,2,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,5.0,False,False,False,gsw20240414
04/14/24,IND,ATL,Tyrese Haliburton,PG,25,12,2,13,27,3,1,2,3,5,10,0,4,2,3,0,2,43.9,False,True,True,ind20240414
04/14/24,IND,ATL,Ben Sheppard,SG,25,7,4,2,13,1,0,0,1,3,6,1,3,0,0,2,2,17.8,False,True,True,ind20240414
04/14/24,IND,ATL,Pascal Siakam,PF,25,28,6,1,35,1,0,2,3,13,18,1,2,1,2,2,4,37.7,False,True,True,ind20240414
04/14/24,IND,ATL,Andrew Nembhard,SG,22,10,2,5,17,1,0,1,3,4,5,2,3,0,0,0,2,21.9,False,True,True,ind20240414
04/14/24,IND,ATL,Myles Turner,C,21,31,12,0,43,0,4,1,2,13,17,3,4,2,2,3,9,56.4,False,True,True,ind20240414
04/14/24,IND,ATL,Aaron Nesmith,SF,19,8,3,1,12,1,0,0,3,3,3,1,1,1,1,0,3,16.1,False,True,True,ind20240414
04/14/24,IND,ATL,Jalen Smith,C,19,10,5,2,17,0,1,2,2,4,4,2,2,0,0,3,2,20.0,False,True,True,ind20240414
04/14/24,IND,ATL,Doug McDermott,SF,18,15,1,1,17,0,0,0,0,6,9,3,5,0,0,1,0,17.7,False,True,True,ind20240414
04/14/24,IND,ATL,T.J. McConnell,PG,15,17,4,8,29,0,0,1,2,7,11,3,4,0,0,0,4,32.8,False,True,True,ind20240414
04/14/24,IND,ATL,Obi Toppin,PF,12,7,2,3,12,1,0,2,1,2,6,1,4,2,2,1,1,14.9,False,True,True,ind20240414
04/14/24,IND,ATL,Jarace Walker,PF,10,8,5,1,14,1,0,1,0,3,5,2,3,0,0,0,5,17.5,False,True,True,ind20240414
04/14/24,IND,ATL,Kendall Brown,SG,10,4,1,1,6,0,0,1,1,2,4,0,1,0,0,0,1,5.7,False,True,True,ind20240414
04/14/24,IND,ATL,Quenton Jackson,,6,0,1,2,3,1,0,0,1,0,1,0,0,0,0,0,1,7.2,False,True,True,ind20240414
04/14/24,IND,ATL,James Johnson,PF,6,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0.5,False,True,True,ind20240414
04/14/24,ATL,IND,Trae Young,PG,31,12,3,12,27,0,0,8,1,4,9,1,4,3,3,1,2,25.6,False,False,False,ind20240414
04/14/24,ATL,IND,Dejounte Murray,SG,30,32,3,3,38,1,0,3,1,13,19,4,6,2,3,1,2,40.1,False,False,False,ind20240414
